arm,group,metric,condition,hypothesis_type,is_derived_condition,bound,bh_family,n_pairs,n_clusters,n_instances_missing,n_forced_wrong_non_terminating,n_looped_on_correct_answer,high_non_termination_rate,near_ceiling,headroom,task_delta_min,task_delta_max,delta,ci_low,ci_high,p_value,bh_significant,mde_delta,mde_realized_diff,mde_delta_negative,mde_realized_diff_negative,mde_power_target,bh_significant_global,task
main_sweep,qwen3-4b,exact,all,,True,excluded,main_sweep/qwen3-4b/task/edge_count/derived,400,400,,,,,,,,,0.0375,0.0125,0.0625,0.007599240075992401,True,,,,,,,edge_count
main_sweep,qwen3-4b,exact,clustering,,False,excluded,main_sweep/qwen3-4b/task/edge_existence,400,400,,,,,,,,,0.04,0.01,0.07,0.017998200179982,True,,,,,,True,edge_existence
main_sweep,qwen3-4b,exact,components,,False,excluded,main_sweep/qwen3-4b/task/edge_existence,400,400,,,,,,,,,-0.0275,-0.06,0.0025,0.11988801119888011,False,,,,,,False,edge_existence
main_sweep,qwen3-4b,exact,degree,,False,excluded,main_sweep/qwen3-4b/task/edge_existence,400,400,,,,,,,,,-0.0475,-0.0825,-0.0125,0.0100989901009899,True,,,,,,True,edge_existence
main_sweep,qwen3-4b,exact,filler,,False,excluded,main_sweep/qwen3-4b/task/edge_existence,400,400,,,,,,,,,-0.07,-0.105,-0.035,0.0004999500049995,True,,,,,,True,edge_existence
main_sweep,qwen3-4b,exact,rwse,,False,excluded,main_sweep/qwen3-4b/task/edge_existence,400,400,,,,,,,,,-0.1,-0.14,-0.0625,9.999000099990002e-05,True,,,,,,True,edge_existence
main_sweep,qwen3-4b,exact,all,,True,excluded,main_sweep/qwen3-4b/task/edge_existence/derived,400,400,,,,,,,,,-0.1,-0.14,-0.0625,9.999000099990002e-05,True,,,,,,,edge_existence
main_sweep,qwen3-4b,exact,clustering,,False,excluded,main_sweep/qwen3-4b/task/node_count,400,400,,,,,,,,,0.0875,0.0575,0.1175,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-4b,exact,components,,False,excluded,main_sweep/qwen3-4b/task/node_count,400,400,,,,,,,,,0.09,0.0625,0.12,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-4b,exact,degree,,False,excluded,main_sweep/qwen3-4b/task/node_count,400,400,,,,,,,,,0.08,0.05,0.1125,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-4b,exact,filler,,False,excluded,main_sweep/qwen3-4b/task/node_count,400,400,,,,,,,,,0.0925,0.065,0.12,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-4b,exact,rwse,,False,excluded,main_sweep/qwen3-4b/task/node_count,400,400,,,,,,,,,0.0925,0.065,0.1225,9.999000099990002e-05,True,,,,,,True,node_count
main_sweep,qwen3-4b,exact,all,,True,excluded,main_sweep/qwen3-4b/task/node_count/derived,400,400,,,,,,,,,0.0975,0.07,0.1275,9.999000099990002e-05,True,,,,,,,node_count
main_sweep,qwen3-4b,exact,clustering,,False,excluded,main_sweep/qwen3-4b/task/node_degree,400,400,,,,,,,,,-0.005,-0.02,0.0075,0.7407259274072593,False,,,,,,False,node_degree
main_sweep,qwen3-4b,exact,components,,False,excluded,main_sweep/qwen3-4b/task/node_degree,400,400,,,,,,,,,0.0025,0.0,0.0075,1.0,False,,,,,,False,node_degree
main_sweep,qwen3-4b,exact,degree,,False,excluded,main_sweep/qwen3-4b/task/node_degree,400,400,,,,,,,,,-0.065,-0.0925,-0.04,9.999000099990002e-05,True,,,,,,True,node_degree
main_sweep,qwen3-4b,exact,filler,,False,excluded,main_sweep/qwen3-4b/task/node_degree,400,400,,,,,,,,,-0.005,-0.02,0.0075,0.7292270772922708,False,,,,,,False,node_degree
main_sweep,qwen3-4b,exact,rwse,,False,excluded,main_sweep/qwen3-4b/task/node_degree,400,400,,,,,,,,,-0.0225,-0.04,-0.005,0.023697630236976304,False,,,,,,True,node_degree
main_sweep,qwen3-4b,exact,all,,True,excluded,main_sweep/qwen3-4b/task/node_degree/derived,400,400,,,,,,,,,-0.0925,-0.1225,-0.065,9.999000099990002e-05,True,,,,,,,node_degree
thinking_arm,qwen3-4b,non_terminating,clustering,,False,not_applicable,thinking_arm/qwen3-4b/not_applicable,2400,2400,0.0,589.0,,,False,0.14416666666666667,-0.26,0.0125,-0.042916666666666665,-0.05416666666666667,-0.03166666666666667,9.999000099990002e-05,True,,,,,,True,
thinking_arm,qwen3-4b,non_terminating,components,,False,not_applicable,thinking_arm/qwen3-4b/not_applicable,2400,2400,0.0,606.0,,,False,0.14416666666666667,-0.25,0.0325,-0.035833333333333335,-0.0475,-0.024583333333333332,9.999000099990002e-05,True,,,,,,True,
thinking_arm,qwen3-4b,non_terminating,degree,,False,not_applicable,thinking_arm/qwen3-4b/not_applicable,2400,2400,0.0,618.0,,,False,0.14416666666666667,-0.2075,0.0475,-0.030833333333333334,-0.04375,-0.017916666666666668,9.999000099990002e-05,True,,,,,,True,
thinking_arm,qwen3-4b,non_terminating,filler,,False,not_applicable,thinking_arm/qwen3-4b/not_applicable,2400,2400,0.0,629.0,,,False,0.14416666666666667,-0.13,0.0,-0.02625,-0.03666666666666667,-0.01625,9.999000099990002e-05,True,,,,,,True,
thinking_arm,qwen3-4b,non_terminating,rwse,,False,not_applicable,thinking_arm/qwen3-4b/not_applicable,2400,2400,0.0,645.0,,,False,0.14416666666666667,-0.1225,0.0125,-0.019583333333333335,-0.03,-0.009166666666666667,0.0004999500049995,True,,,,,,True,
thinking_arm,qwen3-4b,non_terminating,all,,True,not_applicable,thinking_arm/qwen3-4b/not_applicable/derived,2400,2400,0.0,603.0,,,False,0.14416666666666667,-0.2375,0.01,-0.037083333333333336,-0.04958333333333333,-0.025,9.999000099990002e-05,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,clustering,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,589.0,,,False,0.14416666666666667,-0.26,0.0125,-0.042916666666666665,-0.05416666666666667,-0.03166666666666667,9.999000099990002e-05,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,components,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,606.0,,,False,0.14416666666666667,-0.25,0.0325,-0.035833333333333335,-0.0475,-0.024166666666666666,9.999000099990002e-05,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,degree,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,618.0,,,False,0.14416666666666667,-0.2075,0.0475,-0.030833333333333334,-0.04375,-0.017916666666666668,9.999000099990002e-05,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,filler,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,629.0,,,False,0.14416666666666667,-0.13,0.0,-0.02625,-0.03625,-0.01625,9.999000099990002e-05,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,rwse,,False,not_applicable,thinking_arm/pooled across all models/not_applicable,2400,2400,0.0,645.0,,,False,0.14416666666666667,-0.1225,0.0125,-0.019583333333333335,-0.03,-0.009166666666666667,0.0005999400059994001,True,,,,,,,
thinking_arm,pooled across all models,non_terminating,all,,True,not_applicable,thinking_arm/pooled across all models/not_applicable/derived,2400,2400,0.0,603.0,,,False,0.14416666666666667,-0.2375,0.01,-0.037083333333333336,-0.049166666666666664,-0.025,9.999000099990002e-05,True,,,,,,,
